,City,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Lat,Lon
0,Rikitea,75.25,63.0,96.0,22.24,,
1,Albany,49.66,55.0,25.0,4.45,,
2,Lebu,52.21,92.0,7.0,6.6,,
3,Bethel,53.92,66.0,20.0,3.06,,
4,Manturovo,61.11,90.0,98.0,5.97,,
5,Punta Arenas,44.29,93.0,90.0,12.66,,
6,bacuit,,,,,,
7,Tura,84.88,55.0,1.0,5.48,,
8,Narsaq,39.2,30.0,63.0,13.8,,
9,Chokurdakh,29.86,88.0,81.0,8.9,,
10,Bluff,48.99,61.0,82.0,13.0,,
11,sentyabrskiy,,,,,,
12,Tiarei,81.27,65.0,75.0,10.36,,
13,jiddah,,,,,,
14,Ushuaia,48.2,57.0,20.0,13.8,,
15,Cape Town,62.44,94.0,75.0,17.27,,
16,Puerto Ayora,75.99,92.0,34.0,5.97,,
17,Lorengau,84.76,79.0,24.0,9.17,,
18,grand river south east,,,,,,
19,Władysławowo,49.46,87.0,75.0,2.3,,
20,Jalpatagua,74.14,72.0,13.0,6.91,,
21,Tuktoyaktuk,33.8,80.0,75.0,12.66,,
22,Hokitika,54.16,69.0,49.0,7.11,,
23,Hermanus,66.0,78.0,85.0,5.99,,
24,Chui,49.86,79.0,46.0,1.63,,
25,Ulladulla,57.45,39.0,40.0,17.27,,
26,Alugan,83.08,85.0,35.0,11.99,,
27,Kavaratti,82.65,77.0,100.0,31.59,,
28,Kieta,85.68,71.0,11.0,6.62,,
29,Horsham,47.61,93.0,75.0,4.61,,
30,Vaini,80.6,83.0,40.0,6.91,,
31,Coria,51.01,89.0,44.0,1.99,,
32,Mount Gambier,53.6,62.0,90.0,14.97,,
33,Morondava,72.73,66.0,2.0,6.4,,
34,Airai,72.19,48.0,100.0,4.83,,
35,Sydney,60.49,31.0,20.0,24.16,,
36,Dudinka,20.12,91.0,93.0,11.65,,
37,Saint-Philippe,75.2,57.0,0.0,5.75,,
38,Sioux Lookout,51.8,76.0,90.0,2.3,,
39,Port Elizabeth,62.6,77.0,0.0,12.66,,
40,Ribeira Grande,64.99,92.0,86.0,21.25,,
41,Sitka,48.2,87.0,90.0,5.75,,
42,Arrondissement de Vesoul,47.46,93.0,75.0,6.91,,
43,Rock Sound,78.33,76.0,87.0,9.37,,
44,Avarua,77.0,83.0,40.0,8.05,,
45,Nome,60.8,41.0,1.0,19.57,,
46,Gweta,60.3,43.0,5.0,4.38,,
47,belushya guba,,,,,,
48,Hong Kong,83.71,59.0,6.0,11.99,,
49,Severo-Kuril'sk,42.04,64.0,0.0,3.98,,
50,Mataura,48.99,61.0,46.0,13.0,,
51,Sibu,87.42,62.0,40.0,4.61,,
52,Zheleznodorozhnyy,59.58,94.0,20.0,2.24,,
53,Tasiilaq,23.0,86.0,20.0,2.3,,
54,Acarí,68.99,71.0,24.0,2.64,,
55,inderborskiy,,,,,,
56,Agadez,84.49,11.0,1.0,5.75,,
57,nizhneyansk,,,,,,
58,umzimvubu,,,,,,
59,Tessalit,88.07,16.0,29.0,7.63,,
60,Dingle,90.32,57.0,100.0,11.99,,
61,Mar del Plata,51.66,81.0,0.0,5.75,,
62,Merauke,84.36,74.0,31.0,11.5,,
63,Padang,86.0,79.0,20.0,4.61,,
64,Kapaa,73.24,78.0,20.0,18.41,,
65,Progreso,75.2,94.0,75.0,3.44,,
66,Ambilobe,73.54,76.0,69.0,4.85,,
67,São Filipe,75.74,63.0,50.0,7.72,,
68,Machico,68.0,45.0,20.0,18.41,,
69,Abu Samrah,66.11,45.0,0.0,6.53,,
70,New Norfolk,48.45,66.0,40.0,3.0,,
71,Bluffton,60.51,77.0,1.0,5.79,,
72,Butaritari,83.8,76.0,100.0,17.98,,
73,Ahipara,65.08,76.0,4.0,7.05,,
74,Pisco,63.81,88.0,0.0,4.61,,
75,San Javier,60.12,72.0,60.0,3.6,,
76,Kamaishi,77.0,23.0,0.0,18.41,,
77,Mirpur Sakro,86.0,70.0,20.0,6.91,,
78,Luena,52.61,75.0,1.0,3.04,,
79,Luang Prabang,91.4,52.0,20.0,2.3,,
80,Carnarvon,84.2,32.0,97.0,13.8,,
81,Ribeirão,77.0,78.0,40.0,5.75,,
82,Gewanē,85.23,44.0,73.0,0.89,,
83,Hofn,37.13,61.0,94.0,12.8,,
84,Saint Paul Harbor,42.8,87.0,90.0,3.44,,
85,illoqqortoormiut,,,,,,
86,Saint George,78.85,8.0,1.0,3.44,,
87,taolanaro,,,,,,
88,Oussouye,73.4,94.0,0.0,2.3,,
89,Mogadishu,79.99,87.0,17.0,17.52,,
90,Busselton,61.84,69.0,100.0,4.0,,
91,Vanimo,86.81,66.0,58.0,9.13,,
92,Upernavik,23.52,81.0,59.0,4.88,,
93,Inverell,59.23,49.0,8.0,5.99,,
94,Aklavik,44.6,57.0,82.0,1.14,,
95,Malartic,53.6,44.0,40.0,6.91,,
96,Thai Binh,87.8,79.0,75.0,14.97,,
97,Mahébourg,77.0,69.0,75.0,12.66,,
98,Pechenga,33.8,86.0,90.0,8.05,,
99,Ilulissat,28.4,93.0,20.0,5.3,,
100,Fengxian,75.49,70.0,100.0,5.32,,
101,Saint-Joseph,74.59,57.0,0.0,5.75,,
102,Henties Bay,64.47,68.0,0.0,4.83,,
103,bur gabo,,,,,,
104,valjala,,,,,,
105,Chapais,50.0,50.0,75.0,3.44,,
106,Port Alfred,63.12,82.0,33.0,9.73,,
107,Havre-St-Pierre,46.4,61.0,90.0,5.75,,
108,Aksu,54.84,59.0,92.0,11.52,,
109,Belmonte,69.8,94.0,75.0,2.3,,
110,tsihombe,,,,,,
111,tarudant,,,,,,
112,Lüderitz,61.92,71.0,0.0,1.74,,
113,Pitimbu,71.6,100.0,40.0,4.61,,
114,Tamparan,83.16,66.0,95.0,3.71,,
115,Margate,48.13,78.0,100.0,4.0,,
116,Cap-Chat,39.2,70.0,6.0,6.91,,
117,Pañgobilian,84.49,74.0,97.0,5.01,,
118,Khatanga,19.76,81.0,100.0,11.83,,
119,Sijunjung,88.56,59.0,70.0,1.95,,
120,Gamba,76.98,89.0,21.0,3.8,,
121,Santo Domingo,77.0,83.0,20.0,4.61,,
122,Sheregesh,55.63,44.0,95.0,4.0,,
123,Abhā,66.2,59.0,20.0,3.71,,
124,Barrow,23.0,86.0,90.0,6.91,,
125,Kayanza Province,57.61,96.0,69.0,0.29,,
126,Hurricane,78.42,8.0,1.0,3.44,,
127,Balezino,69.21,66.0,58.0,6.87,,
128,Birin,70.97,51.0,0.0,5.26,,
129,Deputatsky,28.94,92.0,99.0,3.89,,
130,Khokhlovo,55.4,88.0,40.0,11.18,,
131,Safi,63.21,77.0,7.0,19.3,,
132,Stornoway,45.82,81.0,90.0,6.91,,
133,Labuhan,87.19,62.0,32.0,1.79,,
134,Dikson,23.59,67.0,100.0,17.11,,
135,Geraldton,82.4,28.0,7.0,21.85,,
136,kerteh,,,,,,
137,Hobart,51.39,40.0,20.0,12.66,,
138,Kyra,58.24,20.0,0.0,7.05,,
139,Aykhal,35.06,100.0,100.0,2.44,,
140,ambodifototra,,,,,,
141,Nikolskoye,58.68,67.0,0.0,4.47,,
142,Thompson,26.6,93.0,90.0,10.36,,
143,Duki,82.08,28.0,0.0,3.74,,
144,Gizo Government Station,85.66,68.0,21.0,5.06,,
145,Seymchan,37.56,69.0,29.0,6.02,,
146,East London,62.6,59.0,0.0,9.22,,
147,Luoyang,75.24,70.0,100.0,10.07,,
148,Nhulunbuy,86.0,54.0,40.0,16.11,,
149,Bengkulu,85.08,67.0,75.0,3.83,,
150,Castro,51.94,99.0,100.0,4.29,,
151,Bilibino,32.61,86.0,100.0,1.01,,
152,Westport,55.53,67.0,20.0,4.61,,
153,Kenai,54.66,38.0,75.0,17.27,,
154,Hilo,72.23,57.0,75.0,6.91,,
155,Zyryanka,39.54,63.0,7.0,13.94,,
156,Mehrān,77.0,23.0,0.0,6.91,,
157,tumannyy,,,,,,
158,Zhezkazgan,66.04,33.0,0.0,14.58,,
159,Halifax,41.68,87.0,5.0,3.44,,
160,Ancud,43.61,100.0,20.0,3.44,,
161,Cockburn Town,79.21,77.0,6.0,13.44,,
162,Tarsus,65.39,83.0,20.0,3.67,,
163,barentsburg,,,,,,
164,Egvekinot,31.15,97.0,94.0,7.96,,
165,Hithadhoo,80.98,83.0,100.0,31.07,,
166,Bredasdorp,60.8,88.0,13.0,1.14,,
167,Norman Wells,42.8,61.0,75.0,10.36,,
168,haibowan,,,,,,
169,Benguela,76.24,70.0,42.0,4.34,,
170,Rabo de Peixe,64.4,94.0,75.0,13.8,,
171,Lagoa,63.81,91.0,97.0,26.75,,
172,Jamestown,44.37,40.0,1.0,2.57,,
173,Tashtagol,59.05,41.0,87.0,4.54,,
174,Broken Hill,59.0,51.0,90.0,17.27,,
175,Kruisfontein,55.99,85.0,95.0,1.01,,
176,Ostrovnoy,31.35,85.0,100.0,13.69,,
177,Huesca,52.5,62.0,0.0,3.44,,
178,Bilma,86.05,10.0,1.0,6.46,,
179,Borborema,61.27,80.0,70.0,5.46,,
180,aflu,,,,,,
181,Goundam,88.5,28.0,58.0,6.98,,
182,Palmer,46.72,87.0,1.0,3.44,,
183,Kupang,87.8,58.0,20.0,21.85,,
184,Rota,56.5,82.0,0.0,3.44,,
185,Ponta do Sol,64.02,45.0,20.0,18.41,,
186,Rome,44.44,65.0,1.0,0.67,,
187,Liverpool,48.81,87.0,75.0,5.75,,
188,Ayan,32.34,98.0,100.0,22.53,,
189,Pathein,96.58,45.0,10.0,10.11,,
190,Katobu,83.95,76.0,88.0,7.29,,
191,Ocean City,56.12,71.0,1.0,8.1,,
192,Yulara,68.0,34.0,0.0,14.97,,
193,Camaçari,77.0,78.0,40.0,11.5,,
194,Baculin,85.66,74.0,79.0,9.13,,
195,Homer,46.69,71.0,90.0,3.44,,
196,Bathsheba,78.8,69.0,20.0,18.41,,
197,Codrington,54.41,47.0,77.0,13.22,,
198,Port Blair,89.6,79.0,40.0,4.61,,
199,grand centre,,,,,,
200,Avera,53.4,94.0,1.0,3.22,,
201,Kumano,70.32,78.0,75.0,5.75,,
202,Petauke,55.17,77.0,3.0,3.38,,
203,Nanortalik,38.25,73.0,97.0,4.81,,
204,Neath,48.02,87.0,100.0,1.99,,
205,Rodrigues Alves,70.65,98.0,10.0,2.19,,
206,Gunjur,71.6,88.0,0.0,5.39,,
207,Vila Franca do Campo,64.4,94.0,75.0,13.8,,
208,chagda,,,,,,
209,Sanski Most,51.01,47.0,100.0,1.19,,
210,Parkes,52.0,58.0,96.0,8.99,,
211,Tilichiki,32.49,91.0,68.0,2.75,,
212,Dalvik,33.8,69.0,90.0,4.21,,
213,Svetlaya,44.46,95.0,100.0,9.42,,
214,Atuona,79.59,73.0,25.0,18.1,,
215,Hay River,35.6,93.0,100.0,5.75,,
216,Jalu,74.3,38.0,11.0,10.04,,
