,City,Country,Lat,Lon,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Båtsfjord,NO,70.6345,29.7185,38.39,77.0,51.0,25.66
1,Tiksi,RU,71.6872,128.8694,36.63,71.0,100.0,9.69
2,Hithadhoo,MV,-0.6,73.0833,83.26,73.0,100.0,12.26
3,Calama,CL,-22.4667,-68.9333,53.98,27.0,55.0,0.94
4,Punta Arenas,CL,-53.15,-70.9167,51.91,66.0,75.0,17.27
5,Katsuura,JP,35.1333,140.3,77.11,63.0,81.0,10.87
6,College,US,64.8569,-147.8028,37.89,52.0,75.0,6.91
7,Korla,CN,41.7597,86.1469,76.5,18.0,30.0,10.29
8,Hobart,AU,-42.8794,147.3294,49.86,53.0,75.0,14.97
9,Praia da Vitória,PT,38.7333,-27.0667,70.05,83.0,40.0,13.15
10,Rikitea,PF,-23.1203,-134.9692,74.07,75.0,12.0,11.34
11,Yellowknife,CA,62.456,-114.3525,45.12,93.0,40.0,5.75
12,Barrow,US,71.2906,-156.7887,32.02,80.0,75.0,16.11
13,Nchelenge,ZM,-9.3451,28.734,69.46,41.0,0.0,7.85
14,Constitución,CL,-35.3333,-72.4167,51.42,75.0,0.0,6.51
15,Río Cuarto,AR,-33.1307,-64.3499,51.1,66.0,39.0,4.99
16,Albany,US,42.6001,-73.9662,60.71,88.0,97.0,5.68
17,Ushuaia,AR,-54.8,-68.3,42.46,87.0,75.0,10.36
18,Raudeberg,NO,61.9875,5.1352,50.67,85.0,19.0,25.1
19,Qinhuangdao,CN,39.9317,119.5883,69.15,63.0,44.0,8.19
20,Bud,US,39.447,-86.1758,71.67,91.0,59.0,14.23
21,Quatre Cocos,MU,-20.2078,57.7625,68.11,66.0,59.0,14.92
22,Hermanus,ZA,-34.4187,19.2345,51.46,67.0,67.0,7.05
23,Launceston,AU,-41.45,147.1667,53.24,43.0,40.0,5.75
24,palabuhanratu,id,,,,,,
25,Odlābāri,IN,26.8333,88.6167,77.83,88.0,79.0,2.33
26,Busselton,AU,-33.65,115.3333,61.66,53.0,1.0,12.06
27,Chui,UY,-33.6971,-53.4616,54.43,88.0,84.0,16.78
28,Ahipara,NZ,-35.1667,173.1667,61.99,65.0,54.0,8.81
29,Kavieng,PG,-2.5744,150.7967,84.24,67.0,100.0,3.2
30,Qaanaaq,GL,77.484,-69.3632,12.67,71.0,42.0,9.57
31,Mar del Plata,AR,-38.0023,-57.5575,47.62,76.0,0.0,14.23
32,Port Elizabeth,ZA,-33.918,25.5701,53.89,82.0,0.0,14.97
33,Saldanha,ZA,-33.0117,17.9442,42.85,70.0,100.0,13.98
34,Olafsvik,IS,64.8945,-23.7142,44.92,72.0,100.0,8.41
35,Deputatsky,RU,69.3,139.9,28.15,63.0,97.0,4.61
36,Vardø,NO,70.3705,31.1107,41.85,75.0,37.0,26.17
37,Kirkenes,NO,69.7271,30.0458,34.75,86.0,23.0,9.22
38,East London,ZA,-33.0153,27.9116,58.55,54.0,49.0,24.29
39,Labuan,MY,5.2767,115.2417,75.56,94.0,40.0,3.44
40,Tarakan,ID,3.3,117.6333,81.9,78.0,40.0,3.44
41,Gualmatán,CO,0.9189,-77.5665,46.87,94.0,88.0,4.59
42,Bluff,NZ,-46.6,168.3333,47.46,87.0,100.0,15.64
43,Tuatapere,NZ,-46.1333,167.6833,48.25,89.0,100.0,5.03
44,Port Hawkesbury,CA,45.6169,-61.3485,48.97,76.0,1.0,2.3
45,taolanaro,mg,,,,,,
46,illoqqortoormiut,gl,,,,,,
47,San Rafael,AR,-34.6177,-68.3301,57.2,36.0,31.0,9.31
48,Ruteng,ID,-8.6136,120.4721,75.27,46.0,49.0,2.13
49,Pacific Grove,US,36.6177,-121.9166,76.08,38.0,1.0,4.61
50,Iqaluit,CA,63.7506,-68.5145,31.73,74.0,90.0,5.75
51,Samarai,PG,-10.6167,150.6667,77.83,88.0,100.0,11.72
52,Necochea,AR,-38.5473,-58.7368,46.65,79.0,0.0,10.4
53,Mount Gambier,AU,-37.8333,140.7667,53.51,62.0,90.0,16.11
54,Kassala,SD,15.451,36.4,82.9,46.0,1.0,6.55
55,Geraldton,AU,-28.7667,114.6,75.61,27.0,0.0,21.85
56,Touros,BR,-5.1989,-35.4608,76.1,76.0,64.0,15.55
57,Jamestown,US,42.097,-79.2353,69.71,83.0,75.0,13.8
58,Kotovo,RU,50.3211,44.8012,48.27,80.0,91.0,6.87
59,Pangnirtung,CA,66.1451,-65.7125,31.8,69.0,100.0,4.05
60,Moranbah,AU,-22.0016,148.0466,81.5,17.0,87.0,22.08
61,Hilo,US,19.7297,-155.09,80.33,69.0,75.0,10.36
62,samusu,ws,,,,,,
63,tsihombe,mg,,,,,,
64,Atuona,PF,-9.8,-139.0333,77.88,72.0,0.0,20.15
65,sentyabrskiy,ru,,,,,,
66,nizhneyansk,ru,,,,,,
67,Tura,IN,25.5198,90.2201,75.79,88.0,96.0,3.91
68,Vaini,TO,-21.2,-175.2,69.96,94.0,75.0,8.05
69,Mount Isa,AU,-20.7333,139.5,73.17,13.0,31.0,26.46
70,Severo-Kuril'sk,RU,50.6789,156.125,50.63,75.0,11.0,29.59
71,Puerto Ayora,EC,-0.7393,-90.3518,68.0,83.0,40.0,9.24
72,manzil tamim,tn,,,,,,
73,Kaitangata,NZ,-46.2817,169.8464,54.37,70.0,100.0,2.19
74,Mataura,NZ,-46.1927,168.8643,46.78,97.0,100.0,8.39
75,Balkhash,KZ,46.844,74.9804,43.41,42.0,0.0,11.18
76,Tasiilaq,GL,65.6145,-37.6368,28.98,76.0,96.0,8.79
77,Cangzhou,CN,38.3167,116.8667,71.1,75.0,60.0,4.07
78,Severo-Yeniseyskiy,RU,60.3725,93.0408,33.26,98.0,100.0,5.7
79,Bambous Virieux,MU,-20.3428,57.7575,68.25,64.0,20.0,10.36
80,Saint-Joseph,RE,-21.3667,55.6167,66.58,72.0,99.0,13.78
81,Saint Paul Harbor,US,57.79,-152.4072,51.69,65.0,12.0,16.49
82,Faanui,PF,-16.4833,-151.75,79.02,70.0,5.0,11.48
83,George Town,MY,5.4112,100.3354,80.55,83.0,20.0,5.75
84,Bilibino,RU,68.0546,166.4372,26.19,67.0,99.0,4.88
85,Port Moresby,PG,-9.4431,147.1797,87.22,66.0,75.0,11.5
86,vaitupu,wf,,,,,,
87,deh rawud,af,,,,,,
88,Melo,UY,-32.3667,-54.1833,58.35,91.0,100.0,16.24
89,Oranjemund,NA,-28.55,16.4333,54.7,71.0,2.0,11.74
90,Saskylakh,RU,71.9167,114.0833,34.12,87.0,99.0,5.77
91,Gigmoto,PH,13.7796,124.39,85.5,71.0,96.0,6.2
92,Anadyr,RU,64.75,177.4833,34.3,93.0,75.0,13.42
93,Talcahuano,CL,-36.7167,-73.1167,53.28,82.0,0.0,9.22
94,Hambantota,LK,6.1241,81.1185,77.34,100.0,40.0,5.75
95,Cape Town,ZA,-33.9258,18.4232,50.41,76.0,20.0,8.05
96,Montana,BG,43.4125,23.225,54.66,80.0,97.0,5.44
97,Ponta do Sol,PT,32.6667,-17.1,72.23,81.0,27.0,7.27
98,Bathsheba,BB,13.2167,-59.5167,83.01,69.0,20.0,8.05
